;;Time;Quality;Transformation;Checks
Attributes;Dataset;Value;Value;Value;Value
7;Ihis;335.0;0.8523137106499603;[0, 0, 0, 0, 0, 0, 1];8.0
7;Ihis;348.0;0.9179820681779043;[1, 0, 0, 1, 0, 0, 0];9.0
7;Ihis;375.0;0.9523011208902845;[0, 0, 1, 1, 0, 0, 0];11.0
7;Ihis;451.0;0.9525284238368119;[0, 0, 2, 1, 0, 0, 0];18.0
7;Ihis;460.0;0.9583073541745428;[0, 0, 1, 2, 0, 0, 0];19.0
7;Ihis;1102.0;0.9583073541745428;[0, 0, 1, 2, 0, 0, 0];87.0
8;Ihis;2135.0;0.8705118632737672;[1, 0, 0, 0, 1, 0, 0, 1];25.0
8;Ihis;2166.0;0.9106707670878182;[1, 1, 0, 1, 1, 0, 0, 0];27.0
8;Ihis;2196.0;0.9312482383759602;[1, 0, 0, 2, 1, 0, 0, 0];29.0
8;Ihis;2211.0;0.9392647230750626;[1, 0, 0, 1, 2, 0, 0, 0];30.0
8;Ihis;2262.0;0.9420089898989263;[2, 0, 0, 1, 2, 0, 0, 0];34.0
8;Ihis;2295.0;0.9422596010834767;[1, 0, 0, 2, 2, 0, 0, 0];37.0
8;Ihis;2343.0;0.9424212196614963;[2, 0, 0, 2, 2, 0, 0, 0];42.0
8;Ihis;15720.0;0.9424212196614963;[2, 0, 0, 2, 2, 0, 0, 0];670.0
9;Ihis;3107.0;0.7964788975926305;[1, 0, 0, 0, 1, 0, 0, 1, 1];34.0
9;Ihis;3146.0;0.834591610080794;[1, 1, 0, 1, 1, 0, 0, 0, 1];36.0
9;Ihis;3183.0;0.8541808331271852;[1, 0, 0, 2, 1, 0, 0, 0, 1];38.0
9;Ihis;3202.0;0.8618236266460237;[1, 0, 0, 1, 2, 0, 0, 0, 1];39.0
9;Ihis;3263.0;0.8644414409900865;[2, 0, 0, 1, 2, 0, 0, 0, 1];43.0
9;Ihis;3302.0;0.8646805418841368;[1, 0, 0, 2, 2, 0, 0, 0, 1];46.0
9;Ihis;3358.0;0.8648347408407235;[2, 0, 0, 2, 2, 0, 0, 0, 1];51.0
9;Ihis;22686.0;0.8677566042457119;[4, 0, 0, 2, 3, 1, 0, 0, 0];744.0
9;Ihis;166060.0;0.8677566042457119;[4, 0, 0, 2, 3, 1, 0, 0, 0];3877.0
3;SS13ACS;3.0;0.9721935249999998;[0, 0, 0];1.0
3;SS13ACS;3.0;0.9797889016145833;[1, 0, 0];2.0
3;SS13ACS;4.0;0.9797889016145833;[1, 0, 0];12.0
4;SS13ACS;4.0;0.9465294337537402;[1, 0, 0, 0];2.0
4;SS13ACS;6.0;0.9495784186695801;[2, 0, 0, 0];6.0
4;SS13ACS;7.0;0.949711739263283;[2, 0, 1, 0];12.0
4;SS13ACS;16.0;0.949711739263283;[2, 0, 1, 0];50.0
5;SS13ACS;7.0;0.9477890279847094;[2, 0, 0, 0, 0];7.0
5;SS13ACS;8.0;0.948308382773486;[2, 0, 1, 0, 0];14.0
5;SS13ACS;31.0;0.948308382773486;[2, 0, 1, 0, 0];89.0
6;SS13ACS;10.0;0.9434803121215563;[2, 0, 0, 0, 0, 0];8.0
6;SS13ACS;12.0;0.9446268720113205;[2, 0, 1, 0, 0, 0];16.0
6;SS13ACS;69.0;0.9446268720113205;[2, 0, 1, 0, 0, 0];177.0
7;SS13ACS;19.0;0.929488312588086;[3, 0, 0, 0, 0, 0, 0];16.0
7;SS13ACS;23.0;0.9308523210338062;[3, 0, 1, 0, 0, 0, 0];25.0
7;SS13ACS;238.0;0.9308523210338062;[3, 0, 1, 0, 0, 0, 0];449.0
8;SS13ACS;28.0;0.9116182706929077;[2, 0, 0, 0, 0, 0, 0, 1];25.0
8;SS13ACS;28.0;0.9168361907173797;[4, 0, 0, 0, 0, 0, 0, 0];26.0
8;SS13ACS;29.0;0.926656712413928;[3, 0, 1, 0, 0, 0, 0, 0];28.0
